"","Experiment","Person","Repetition","Time","X","Y","Z"
"48432","5","9","5","32",12.8832880279345,-5.72540136248255,47.3845839532796
"48433","5","9","5","33",13.9016188945173,-5.98935043604229,48.351609894896
"48434","5","9","5","34",14.9276332100934,-6.2123270886885,49.2593172811769
"48435","5","9","5","35",15.9787881826209,-6.43654220811045,50.1103197564429
"48436","5","9","5","36",17.0430690850213,-6.57150576755023,50.8950010087314
"48437","5","9","5","37",18.1040551945297,-6.73302988761394,51.6264402283963
"48438","5","9","5","38",19.1798982492822,-6.806288150623,52.2964145417166
"48439","5","9","5","39",20.3014328412008,-6.86042716490933,52.9047553531561
"48440","5","9","5","40",21.4280728254559,-6.85112985249306,53.4423102338494
"48441","5","9","5","41",22.5468409627046,-6.86284752023287,53.9269054795884
"48442","5","9","5","42",23.6676796278208,-6.85874223807055,54.3387183938387
"48443","5","9","5","43",24.7839613841169,-6.82236109065495,54.6869513278094
"48444","5","9","5","44",25.9034053462576,-6.76137603310827,54.9740829530222
"48445","5","9","5","45",27.0247975326319,-6.72618520722774,55.1775741393334
"48446","5","9","5","46",28.137853542363,-6.60279510924924,55.3189028060122
"48447","5","9","5","47",29.2688301997468,-6.4481811299452,55.393950824748
"48448","5","9","5","48",30.3729042063821,-6.26848478103624,55.4002407548363
"48449","5","9","5","49",31.4647766877341,-6.0643178845035,55.3250100980531
"48450","5","9","5","50",32.5657645863304,-5.84639713039061,55.1885414245551
"48451","5","9","5","51",33.6765620151716,-5.61269447536923,54.977287462702
"48452","5","9","5","52",34.774028217366,-5.36843438913735,54.708190050827
"48453","5","9","5","53",35.8486549341865,-5.10903292178676,54.3791707670036
"48454","5","9","5","54",36.9090477880513,-4.83745275603552,53.9722050065859
"48455","5","9","5","55",37.9511951300107,-4.5557658230951,53.4921562898673
"48456","5","9","5","56",38.9968670979491,-4.26207216782937,52.9562658369259
"48457","5","9","5","57",40.0182794194443,-3.96019561177099,52.3588467255446
"48458","5","9","5","58",41.031728514439,-3.64741930031122,51.6894991238753
"48459","5","9","5","59",42.023663160116,-3.32676776921096,50.9493292073533
"48460","5","9","5","60",43.0040845455936,-3.0035684806441,50.1631691855549
"48461","5","9","5","61",43.9731000275603,-2.67969718530325,49.3176456306376
"48462","5","9","5","62",44.9299349179866,-2.36360105381627,48.4144294421407
"48463","5","9","5","63",45.8776414115582,-2.07625564803795,47.4683760363083
"48464","5","9","5","64",46.8091447182873,-1.78409980969706,46.4678393311791
"48465","5","9","5","65",47.7180191023888,-1.48969687273401,45.4222566435005
"48466","5","9","5","66",48.6114322924504,-1.22726842907157,44.3576657846859
"48467","5","9","5","67",49.4878496505755,-1.01293769579587,43.2820567439094
"48468","5","9","5","68",50.3096269372777,-0.77310420978404,42.1521313236386
"48469","5","9","5","69",51.0988258678015,-0.565166029786615,41.0041930269224
"48470","5","9","5","70",51.8512013693497,-0.392403760862693,39.8476538679949
"48471","5","9","5","71",52.5453846795953,-0.177764045518486,38.6638821197103
"48472","5","9","5","72",53.2054890735842,0.00787326168502556,37.490807225335
"48473","5","9","5","73",53.8417668305922,0.146171447501336,36.3270782582953
"48474","5","9","5","74",54.4283642497675,0.263414897472417,35.1823003535784
"48475","5","9","5","75",54.9757634690096,0.362166239317168,34.0572456146734
"48476","5","9","5","76",55.4738669397465,0.458243055826076,32.9488298554903
"48477","5","9","5","77",55.907866007168,0.548042974539367,31.8605708924215
"48478","5","9","5","78",56.276673913622,0.629356558255691,30.8022048852867
